Site no,PCTID,PCTAssignmentCategory,ElevationInMeters,annualRainfallInMillimeters,annualMeanTemperatureInCelsius
NEF6021,3167,Primary,139.06,1594.89,16.56
NEF6022,3167,Primary,369.78,1692.14,15.74
NEF6027,3167,Primary,342.8,1730.74,15.76
NEF6029,3167,Primary,346.04,1707.72,15.67
NEF6030,3167,Primary,219.91,1620.88,16.29
NEF6041,3167,Primary,44.93,1333.34,16.59
NEF6073,3167,Primary,287.18,1499.42,16.27
NRAC644,3167,Primary,536.08,1169.71,15.76
NUBAG092,3167,Primary,511.33,1627.61,14.71
NUBOA123,3167,Primary,302.11,1778.98,16.22
NUBUC039,3167,Primary,608.9,1712.19,14.53
NUCON124,3167,Primary,464.96,1607.34,16.26
NUMIS170,3167,Primary,636.94,1854.02,13.9
NUNEW061,3167,Primary,241.59,1381.88,17.56
NUORE089,3167,Primary,54.01,1572,18.24
NUORE101,3167,Primary,265.13,1719.27,17.16
NUORE157,3167,Primary,440.65,1680.79,16.23
NUORW086,3167,Primary,622.03,1720.55,14.41
NUORW094,3167,Primary,311.1,1720.59,15.9
NUORW119,3167,Primary,566.75,1820.84,14.94
NUORW120,3167,Primary,285.9,1846.01,16.96
NUORW122,3167,Primary,273.16,1725.51,17.21
NUPIN161,3167,Primary,48.14,1707.25,18.03
NUSCO041,3167,Primary,375.65,1728.66,16.43
NUSCO127,3167,Primary,482.71,1689.13,15.92
NUTHU036,3167,Primary,559.38,1651.41,14.78
NUTUC113,3167,Primary,91.39,1764.93,17.89
NUVIE146,3167,Primary,265.88,1809.19,16.46
NUWAY132,3167,Primary,170.06,1513.66,17.49
NUWED103,3167,Primary,236.14,1628.18,17.11
NUWIL091,3167,Primary,560.38,1506.74,15.16
NWENG059,3167,Primary,676.64,1636.3,14.92
NWENG061,3167,Primary,406.44,1612.9,16.62
NWENG064,3167,Primary,538.22,1548.58,15.12
NWENG068,3167,Primary,585.29,1563.6,15.35
NWENG085,3167,Primary,653.15,1441.67,15.41
NWENG088,3167,Primary,460.02,1523.21,16.4
NWENG129,3167,Primary,802.74,1248.94,14.63
NY_DB30,3167,Primary,425.98,1195.25,15.13
PAWBLL01,3167,Primary,683.51,1696.26,14.58
PAWBLL04,3167,Primary,529.82,1848.28,14.69
PAWBLL05,3167,Primary,475.61,1541.59,16.31
PAWBLL06,3167,Primary,610.54,1714.92,14.58
PAWBUL05,3167,Primary,601.18,1646.23,15.12
PGRWVWS1,3167,Primary,261.65,1909.07,18.15
PM83H039,3167,Primary,57.8,1697.66,18.06
PM83H041,3167,Primary,37.98,1691.76,18.06
PM83H060,3167,Primary,40.29,1703.87,18.01
PM83H061,3167,Primary,40.44,1699.24,18.02
PM83N074,3167,Primary,41.46,1718.26,18.03
PM83X040,3167,Primary,50.74,1671.76,18.12
PM83X042,3167,Primary,33.76,1691.11,18.09
PM83X054,3167,Primary,33.27,1683.47,18.1
PM83X059,3167,Primary,30.5,1689.01,18.11
PPKBUL02,3167,Primary,160.85,1374.79,17.91
PQLCGSH1,3167,Primary,40.12,1505.06,17.07
RPT034,3167,Primary,321.93,1438.89,15.51
WING0154,3167,Primary,486.71,1299.13,16.15
YBNP03,3167,Primary,342.95,1521.66,17.19
YBNP06,3167,Primary,116.78,1401.7,17.83
YBNP09,3167,Primary,248.2,1721.08,16.52
YBNP18,3167,Primary,189.66,1515.33,17.45
YBNP38,3167,Primary,163.8,1466.13,17.72
YBNP4,3167,Primary,147.89,1420.58,17.72
YBNP40,3167,Primary,136.04,1537.07,17.43
YBNP42,3167,Primary,440.42,1655.24,16.77
PTM11S6L,3167,Primary,70.97,1516.38,17.01
TLP09C4M,3167,Primary,204.17,1556.88,16.65
WCH11P7F,3167,Primary,38.74,1395.35,17.33
BUI24J6U,3167,Primary,365.55,2360.03,17.27
MRK10Q3M,3167,Primary,325.63,1398.61,15.59
FF_SED042B,3167,Secondary,478.36,1518.86,15.42
PUWAY007,3167,Secondary,87.44,1387.92,18.03
PUWAY011,3167,Secondary,144.14,1482.75,17.65
10693G6,3168,Primary,51.38,1440.73,17.62
12066G4,3168,Primary,268.52,1324.89,16.92
12066G5,3168,Primary,245.09,1349.91,16.8
12066G6,3168,Primary,338.14,1408.62,16.51
15684G5,3168,Primary,334.37,1134.59,16.32
17438G6,3168,Primary,390.01,1357.1,15.47
17871G4,3168,Primary,456.82,1460.3,15.14
BOO00010,3168,Primary,439.26,1788.79,14.72
BOO00050,3168,Primary,338.94,1497.02,15.92
BOO00061,3168,Primary,453.07,1801.46,14.7
CHA06,3168,Primary,707.47,1093.13,13.15
CHA39,3168,Primary,501.15,1034.51,14.8
DB_ET25,3168,Primary,380.83,1528.52,15.85
GGMIT01,3168,Primary,787.23,897.36,14.35
GRA00307,3168,Primary,453.61,1233.1,15.47
LNE07024,3168,Primary,333.15,1467.66,16.48
LNE07030,3168,Primary,391.08,1354.45,16.13
LNE10013,3168,Primary,139.43,1271.52,17.34
LNE10048,3168,Primary,189.63,1560.47,16.08
MSB008,3168,Primary,97.2,1718.36,17.39
NAM-042,3168,Primary,117.66,1619.4,16.8
NDCHA054,3168,Primary,516.94,1158.3,14.6
NDCHA064,3168,Primary,626.3,1185.78,14.54
NEF4001,3168,Primary,157.25,1395.57,17.17
NEF4017,3168,Primary,361.34,1454.79,16.23
NEF4021,3168,Primary,127.7,1322.31,17.34
NEF4032,3168,Primary,28.7,1447.5,17.2
NEF6024,3168,Primary,92.77,1529.53,16.93
NUING034,3168,Primary,111.49,1291.15,17.53
NUIRI004,3168,Primary,431.25,1789.48,15.28
NWENG046,3168,Primary,244.25,1389.5,16.3
NWENG048,3168,Primary,200.19,1245.79,16.66
NWENG050,3168,Primary,293.07,1238.48,15.97
NWENG104,3168,Primary,140.66,1488.99,17.26
NWENG111,3168,Primary,462.75,1546.58,16.27
NWENG134,3168,Primary,183.64,1459.78,16.69
NWENG138,3168,Primary,503.82,1323.23,14.9
PCNFG1,3168,Primary,217.49,941.57,17.01
PPK00001,3168,Primary,380.69,1323.47,15.77
PPKMLL04,3168,Primary,75.42,1284.41,17.78
PPKMLL06,3168,Primary,85.34,1349.7,17.44
PPKMUL01,3168,Primary,194.33,1300.9,17.04
REV13822,3168,Primary,347.92,1539.48,15.44
SNR0015,3168,Primary,48.63,1211.58,17.95
UNE14021,3168,Primary,380.17,1430.98,15.41
WLG15F7L,3168,Primary,124.04,1542.29,17.87
WLG21J4L,3168,Primary,336.67,1467.83,17.08
WNPFF71,3168,Primary,600.38,1133.09,14.8
YBNP02,3168,Primary,304.14,1737.99,16.4
BAL25C5L,3168,Primary,44.43,1304.44,17.63
BAL29C4M,3168,Primary,34.96,1293.79,17.7
BYB07A1F,3168,Primary,49.87,1388.11,17.33
DRK08G7V,3168,Primary,460.37,1175.96,15.76
PLL12J7G,3168,Primary,117.16,1297.94,18.11
PV52_04,3168,Primary,131.3,1202.19,18.14
SWAIN712_11,3168,Primary,57.63,1420.38,18.17
TLP06C7F,3168,Primary,66.05,1488.59,16.93
GLR12F4L,3168,Primary,185.4,1417.95,16.29
GLR13B4S,3168,Primary,312.04,1365.92,16.93
MLE01J6S,3168,Secondary,368.67,1539.11,15.33
12979G2,3169,Primary,605.59,1438.92,15.65
15684G6,3169,Primary,442.16,1205.46,15.78
17871G6,3169,Primary,483.73,1518.18,14.87
17871G8,3169,Primary,403.59,1475.23,15.06
9311G2,3169,Primary,142.16,1724.26,17.42
9771G5,3169,Primary,371.87,1826.22,14.97
9771G8,3169,Primary,205.82,1722.88,16.39
BBY037,3169,Primary,61.47,1335.61,16.82
BBY039,3169,Primary,60.86,1330.36,16.84
BDCK10,3169,Primary,438.49,1158.68,16.22
BOO00011,3169,Primary,458.65,1788.44,14.65
CHA03,3169,Primary,870.7,1101.8,12.98
CHA33,3169,Primary,852.99,1159.87,12.35
EA_RB123,3169,Primary,242.81,1366.47,15.87
EA_RB125,3169,Primary,250.52,1429.26,15.31
EA_RT113,3169,Primary,346.67,1257.68,15.45
EA_RT116,3169,Primary,344.95,1279.61,15.39
EA_WOPT,3169,Primary,209.27,1125.18,16.28
EAD24T2,3169,Primary,377.96,1156.37,16.17
EAD24T5,3169,Primary,477.19,1145.07,16.25
ELL02402,3169,Primary,728.97,1327.75,13.37
GF065,3169,Primary,884.68,1038.35,12.66
GFSWVSH1,3169,Primary,142.85,1479.01,16.79
GGBRO06,3169,Primary,702.86,916.7,13.64
GTW04-3,3169,Primary,559.55,1045.59,15.69
GTW06-3,3169,Primary,773.07,1220.51,14.38
LNE07020,3169,Primary,542.43,1468.69,15.37
LNE13015,3169,Primary,537.69,1692.87,15.29
MER3088,3169,Primary,346.1,1270.33,16.05
MLE04F8M,3169,Primary,493.8,1523.96,14.58
NCA0031B,3169,Primary,345.24,1061.17,16.45
NCPP0185,3169,Primary,425.91,1089.24,16.41
NDUMH7.3,3169,Primary,766.51,1211.24,13.78
NEF1001,3169,Primary,605.07,1212.59,14.61
NEF1002,3169,Primary,516.94,1210.06,15.61
NEF1034,3169,Primary,588.12,1237.93,14.67
NEF1035,3169,Primary,465.62,1223.31,15.53
NEF2038,3169,Primary,724.1,1297.65,14.63
NEF2304,3169,Primary,432.86,1207.43,15.81
NEF3034,3169,Primary,926.29,1194.16,12.98
NEF4036,3169,Primary,516.93,1571.39,16.14
NEF4102,3169,Primary,564.64,1501.68,14.24
NEF4107,3169,Primary,650.12,1381.88,15.12
NEF5017,3169,Primary,538.05,1429.16,14.63
NEF5021,3169,Primary,519.93,1489.56,14.84
NEF5037,3169,Primary,376.33,1683.82,15.3
NEF5088,3169,Primary,849.74,1169.17,12.91
NEF5096,3169,Primary,858.21,1226.13,12.47
NEF6033,3169,Primary,573.52,1546.72,14.63
NEF6042,3169,Primary,178.45,1405.28,15.81
NEF6043,3169,Primary,164.12,1363.79,15.86
NEF6054,3169,Primary,395.86,1139.04,16.25
NEF6072,3169,Primary,343.94,1513.68,16
NEF6076,3169,Primary,513.99,1469.26,14.94
NEF6078,3169,Primary,570.76,1520.99,14.84
NEF6101,3169,Primary,144.68,1264.24,16.28
NGDLB074,3169,Primary,482.68,1289.96,15.3
NRAC643,3169,Primary,528.37,1191.02,15.24
NRAC732,3169,Primary,538.81,1086.4,15.7
NRAC738,3169,Primary,784.88,1183.5,14.16
NUKAN060,3169,Primary,549.46,1479,14.95
NUKAN082,3169,Primary,437.44,1391.69,15.85
NUKAN142,3169,Primary,368.22,1471.6,15.87
NUKAN154,3169,Primary,539.13,1510.91,15
NWENG063,3169,Primary,396.78,1605.7,15.2
NWENG065,3169,Primary,497.8,1554.36,16.14
NWENG089,3169,Primary,350.03,1588.65,15.99
NWENG126,3169,Primary,461.3,1150.08,16.36
NWENG143,3169,Primary,688.96,1470.65,13.62
NY_AB15,3169,Primary,695.51,1003.84,15.29
NY_AB51,3169,Primary,245.34,1155.32,16.61
NY_DB02,3169,Primary,449.2,1030.72,14.9
NY_DB20,3169,Primary,556.5,1083.23,14.6
NY_DB50,3169,Primary,160.03,1124.79,17.06
NY_DB60,3169,Primary,930.86,1311.55,13.11
PAWMUL05,3169,Primary,417.74,1598.21,15.83
PPK00019,3169,Primary,368.81,1370.5,16.48
PPK00026,3169,Primary,723.48,1693.31,14.07
PPK00063,3169,Primary,384.35,1638.91,15.25
RPT035,3169,Primary,493.3,1552.48,14.88
TJRT12,3169,Primary,204.19,1510.61,17.07
TJRT41A,3169,Primary,429.7,1434.73,15.48
TV03009A,3169,Primary,686.62,1333.19,14.07
TV03012A,3169,Primary,646.95,1352.27,13.87
UNE05027,3169,Primary,338.79,1072.51,16.43
UNE08071,3169,Primary,368.6,1694.46,15.3
UNE14003,3169,Primary,553.57,1385.77,14.64
UNE14010,3169,Primary,449.82,1414.14,15.06
UNE14013,3169,Primary,596.62,1466.78,14.79
UNE14050,3169,Primary,588.06,1178.31,15.51
WING0547,3169,Primary,627.09,1325.35,14.84
WING0605,3169,Primary,351.91,1226.41,15.81
WINGMLL1,3169,Primary,449.69,1207.64,15.83
WINGMUL2,3169,Primary,438.92,1204.07,15.63
WINGMUL3,3169,Primary,490.22,1283.05,15.43
WINGMUL5,3169,Primary,514.22,1231.63,15.15
WNPFF09,3169,Primary,639.92,1129.17,14.96
WNPFF10,3169,Primary,557.94,1133.36,14.91
WNPFF44,3169,Primary,453.32,1106.17,15.08
CARR38,3169,Primary,737.89,1452.85,13.51
BDCK11,3169,Secondary,429.8,1159.75,16.14
FF_SED010B,3169,Secondary,474.21,1531.54,15
GRA00204,3169,Secondary,493.61,1190.15,16.32
NEF6034,3169,Secondary,652.54,1640.69,14.26
NRAC634,3169,Secondary,208.03,1072.05,16.77
NUORW102,3169,Secondary,469.6,1694.91,15.15
NY_AB56,3169,Secondary,739.49,1318.64,13.45
STRTEB38,3169,Secondary,234.64,1104.4,16.4
UNE14020,3169,Secondary,418.09,1379.29,16.18
WNPFF69,3169,Secondary,335.25,1085.45,15.66
A1_35,3169,Secondary,713.97,1045.95,14.46
A1_46A,3169,Secondary,525.44,1321.19,15.08
A1_47,3169,Secondary,731.44,1317.23,14.07
A1_51,3169,Secondary,479.95,1224.1,15.5
13655G5,3170,Primary,668.51,1050.87,14.42
15684G4,3170,Primary,307.15,1116.96,16.48
BAR01,3170,Primary,268.6,1313.23,16.03
BAR04,3170,Primary,428.78,1274.4,15.69
BAR08,3170,Primary,281.33,1248.06,16.24
BAR10,3170,Primary,489.69,1409.49,14.74
BAR17,3170,Primary,282.41,1355.82,15.79
BAR18,3170,Primary,363.8,1378.57,15.66
BAR22,3170,Primary,343.03,1240.92,16.26
BAR44,3170,Primary,446.5,1062.03,15.08
BAR49,3170,Primary,511.13,1072.72,15.26
BAR50,3170,Primary,389.33,1072.11,15.6
CUT35-3,3170,Primary,485.77,1149.11,16.9
DB_RT49,3170,Primary,634.96,1238.57,15.19
DB_ST49,3170,Primary,436.5,1410.52,16.24
EA_ET48S,3170,Primary,309.12,1262.84,15.66
EA_ET49,3170,Primary,195.63,1187.57,16.1
EA_ET53,3170,Primary,182.26,1162.41,16.32
EA_RB108,3170,Primary,410.15,1103.3,15.85
EA_RB114,3170,Primary,303.62,1234.12,15.62
EA_RT117,3170,Primary,350.98,1266.15,15.65
EUCM02,3170,Primary,460.9,1537.5,15.31
ING05C2M,3170,Primary,439.81,1201.46,15.26
LNE10023,3170,Primary,170.11,1245.81,16.17
LNE10024,3170,Primary,230.78,1286.98,15.97
LNE10041,3170,Primary,647.37,1635.06,14.86
LNE10050,3170,Primary,492.2,1123.61,15.97
LNE11035,3170,Primary,457.61,1174.09,15.78
NCA0031C,3170,Primary,345.47,1070.23,16.56
NCWAS004,3170,Primary,430.6,1114.08,15.91
NDMHL2-3,3170,Primary,351.85,1396.23,15.42
NEF2017,3170,Primary,566.57,1269.24,16.24
NEF2032,3170,Primary,523.97,1167.9,16.13
NEF5065,3170,Primary,271.78,1476.09,16.74
NEF6102,3170,Primary,503.05,1458.46,14.89
NWENG133,3170,Primary,250.63,1432.99,16.79
PPK00004,3170,Primary,612.53,1406.66,15.2
ROY09,3170,Primary,458.89,1048.37,15.8
ROYB01,3170,Primary,348.31,1041.95,15.8
RPT044,3170,Primary,152.15,1198.01,16.48
UNE08075,3170,Primary,170.96,1487.21,16.75
WDN09J2M,3170,Primary,482.47,1067.19,16.72
WING0007,3170,Primary,347.54,1245.58,15.68
WINGDUH1,3170,Primary,683.92,1286.1,14.71
WINGDUL1,3170,Primary,369.16,1121.63,16.45
LNK18B2U,3170,Primary,303.29,1651.98,17.46
WCH05C3U,3170,Primary,100.06,1385.5,17.33
CPE06J2C,3170,Primary,535.65,1248.23,15.94
EUCM24,3170,Secondary,745.56,1287.74,15.34
FF_SED032D,3170,Secondary,487.77,1524.58,15.39
JH-D28T2,3170,Secondary,388.12,1317.58,15.74
JH-DOT9,3170,Secondary,388.88,1322.88,15.77
NCWAS002,3170,Secondary,418.06,1159.1,16.2
NEF4101,3170,Secondary,598.61,1504.96,14.37
UNE14067,3170,Secondary,462.78,1155.28,15.48
WINGDUH6,3170,Secondary,648.44,1204.41,15.03
NDWG015,3170,Secondary,652.81,1377.11,15.13
A1_44,3170,Secondary,572.8,1339.27,14.66
CLR05A7F,3171,Primary,13.33,1000.36,17.33
CPN01Q2V,3171,Primary,25.29,1402.04,17.43
EA_SB10,3171,Primary,104.26,1495.55,17.1
FF_PP003,3171,Primary,91.24,1427.37,17.81
FF_PP017,3171,Primary,85.61,1406.8,18.17
GHD01J0F,3171,Primary,31.56,1495.67,17.04
GHD04Q1F,3171,Primary,19.34,1467.01,17.17
GHD05J3V,3171,Primary,35.27,1472.14,17.13
GSFA8A7F,3171,Primary,12.75,1299.99,16.78
MAR-018,3171,Primary,15.34,1350.05,17.83
MCK039,3171,Primary,16.83,1398.39,18.26
MER3058C,3171,Primary,56.52,1242.11,16.52
MER3058T,3171,Primary,61.9,1242.13,16.51
MER3065T,3171,Primary,19.92,1294.44,16.91
NEF4008,3171,Primary,52.31,1304.02,17.79
NEF6023,3171,Primary,29.27,1454.92,17.32
NEF6032,3171,Primary,67.61,1252,16.62
NEF6104,3171,Primary,91.72,1482.69,17.19
RRK04J0F,3171,Primary,72.95,1401.04,18.08
SWNG4A8V,3171,Primary,20.51,1155.72,17.28
TRRWSF1,3171,Primary,57.98,1685.87,18.06
WF52,3171,Primary,33.79,1242.46,16.77
WLS79Q1F,3171,Primary,51.63,1037.12,17.28
WLS83P7V,3171,Primary,63.79,1011.45,17.29
WTN02A1V,3171,Primary,45.01,1321.44,16.56
WYN62A0F,3171,Primary,21.1,1300.66,16.8
WYND7A8F,3171,Primary,29.57,1307.8,16.7
NORTON18,3171,Primary,26.02,1303.83,17.9
GHD11A7F,3171,Primary,25.61,1486.53,17.07
KMP05A8F,3171,Primary,13.55,1219.12,18.2
PTM02A7V,3171,Primary,35.35,1528.51,16.98
PTM13S2L,3171,Primary,12.64,1461.02,17.22
THB15A3F,3171,Primary,13.95,1216.48,16.94
TLP13C7F,3171,Primary,23.3,1369.99,17.52
WCH08P2F,3171,Primary,30.96,1393.27,17.33
WCH10P2F,3171,Primary,37.1,1393.85,17.34
MCK041,3171,Secondary,11.07,1399.43,18.25
CLY009,3171,Secondary,44.23,1268.38,18.1
BGN08G5L,3172,Primary,62.43,1750.17,18.05
BOAMBW3,3172,Primary,63.41,1817.65,17.63
CHRMUR13,3172,Primary,258.92,1709.14,17.18
CPE02J1S,3172,Primary,538.07,1230.27,15.96
CPE03J6G,3172,Primary,530.85,1206.68,16.08
CUBAL002,3172,Primary,640.15,1269.36,15.49
CUT05-5,3172,Primary,475.01,1206.48,16.51
CUT06-3,3172,Primary,458.47,1232.38,16.27
CUT17-3,3172,Primary,479.8,1097.66,16.69
CUT18-3,3172,Primary,540.76,1104.36,16.71
CUT19-3,3172,Primary,516.6,1193.14,15.99
CUT20-4,3172,Primary,478.08,1143.34,16.26
CUT31-3,3172,Primary,394.55,1176.42,16.41
CUT32-3,3172,Primary,411.34,1121.65,16.87
CUT33-3,3172,Primary,360.73,1108.06,17.14
CUT34-2,3172,Primary,365.29,1103.15,17.24
CUT37-3,3172,Primary,336.44,1180.31,16.61
CUTOO001,3172,Primary,628.34,1477.2,15.01
DKW01F7S,3172,Primary,216.43,1650.17,15.96
LNE13009,3172,Primary,339.56,1628.82,16.5
LNE13018,3172,Primary,353.27,1639.33,16.59
NCA0012A,3172,Primary,548.29,1306.02,16.13
NCA0031D,3172,Primary,359.37,1073.92,16.04
NCPP0177,3172,Primary,156.03,1267.75,18.35
NCT107-6,3172,Primary,158.32,1801.65,18.3
NCT99-2,3172,Primary,357.14,1214.97,16.62
NEF2013,3172,Primary,250.62,1163.64,17.18
NEF2016,3172,Primary,518.12,1287.97,16.2
NEF2022,3172,Primary,306.56,1187.21,16.84
NEF2025,3172,Primary,591.56,1372.92,15.64
NEF2033,3172,Primary,504.95,1168.21,16.15
NEF2316,3172,Primary,444.46,2179.67,17.1
NRAC208,3172,Primary,503.31,1742.03,16.29
NRAC215,3172,Primary,433.27,1547.02,17.26
NRAC223,3172,Primary,543.98,1138.74,16.42
NRAC710,3172,Primary,377,1207.2,16.97
NRAC711,3172,Primary,355.28,1207.61,16.95
NRAC727,3172,Primary,288.55,1418.75,17.94
NUBEL030,3172,Primary,286.9,1637.01,16.77
NUKAN063,3172,Primary,433.53,1524.56,15.19
NUTHU166,3172,Primary,438.08,1619.51,14.88
PBVWSH1,3172,Primary,171.79,1276.99,18.21
TV01019A,3172,Primary,402.95,1221.11,16.81
UNE05020,3172,Primary,501.2,1154.78,16.25
UNE05021,3172,Primary,526.28,1154.63,15.92
BRC08J3M,3172,Primary,182.36,1680.3,17.99
BRC30B3M,3172,Primary,268.6,1396.31,18.18
NMB22R8M,3172,Primary,330.21,1734.75,16.91
DNN15B3M,3172,Primary,275.64,1838.97,17.64
HNB22R7M,3172,Primary,249.51,1914.26,17.45
HNB47B4U,3172,Primary,368.13,2224.2,17.74
LNK09B5U,3172,Primary,246.63,1464.81,18.16
LNK13B3M,3172,Primary,400.2,1576.74,16.9
LNK14B3M,3172,Primary,426.76,1580.19,16.91
LNK15B2M,3172,Primary,417.15,1604.1,16.81
NMB02J4M,3172,Primary,313.5,1653.48,17.34
NMB04J1M,3172,Primary,344.32,1672.11,17.26
NMB06B3M,3172,Primary,237.06,1592.45,17.79
NMB12B6L,3172,Primary,240.82,1562.27,17.29
NMB17B2U,3172,Primary,309.98,1972.62,16.72
NMB23R3M,3172,Primary,243.48,1706.09,17.04
NMB28B1M,3172,Primary,222.4,1657.77,18.04
TGB10J5V,3172,Primary,314.48,1125.06,17.33
SP_Plot_D,3172,Primary,16.81,1274.42,19.03
NRAC726,3172,Primary,210.55,1233.68,17.4
BB03B4U,3172,Primary,518.27,1353.31,16.09
BBO05B2U,3172,Primary,570.59,1292.33,15.98
BBO06B2U,3172,Primary,584.86,1296.65,15.94
BBO08B4S,3172,Primary,555.61,1330.38,15.69
BUI14M4U,3172,Primary,316.96,2148.46,18.3
CPE07B3S,3172,Primary,680.44,1235,15.46
CPE11J3S,3172,Primary,290.89,1131.47,17.24
CPE13J2S,3172,Primary,259.99,1119.52,17.44
PDF01B7C,3172,Primary,738.58,1254.24,15.07
PDF02B7C,3172,Primary,628.05,1194.68,15.89
PDF03B7C,3172,Primary,585.11,1132.51,16.25
WDN16J3S,3172,Primary,605.68,1323.11,15.54
WDN17J3S,3172,Primary,659.98,1259.26,15.91
WDN18J4S,3172,Primary,567.37,1263.65,15.86
WDN19J2S,3172,Primary,467.34,1135.52,16.61
BRC42B5M,3172,Primary,343.96,1347.37,17.46
BRC43B4S,3172,Primary,356.69,1358.08,17.21
BRC50Q6L,3172,Primary,371.29,1909.27,17.35
BRC51Q6S,3172,Primary,456.62,1933.06,17.09
BRC52Q5S,3172,Primary,466.51,1910.82,17.41
BRC54Q5S,3172,Primary,427.48,1927.7,17.12
BRC55J6M,3172,Primary,353.53,1925.82,17.15
BRC56B6S,3172,Primary,478.55,1943.83,16.92
BRC62J6U,3172,Primary,350.97,1878.85,17.47
BRC63J2U,3172,Primary,306.36,1848.48,17.68
BUI21J5S,3172,Primary,214.7,1848.26,18.69
BUI22J4V,3172,Primary,279.85,2054.88,18.27
BDCK12,3172,Secondary,373.99,1149.4,16.61
NRAC246,3172,Secondary,423.18,2078.18,15.01
NRAC707,3172,Secondary,297.07,1162.29,17.24
NMB05R2L,3172,Secondary,89.04,1468.22,18.49
NMB19B2V,3172,Secondary,128.35,1643.89,18.19
BKN01Q8F,3172,Secondary,159.98,1870.54,17.24
NRAC901,3172,Secondary,318.86,1501.9,16.31
NRAC905,3172,Secondary,191.32,1406.61,17.27
UNE08028,3172,Secondary,195.82,1233.31,17.19
CPE14J7F,3172,Secondary,290.01,1138.92,17.33
13655G4,3173,Primary,748.47,1079.65,13.67
CUKOR003,3173,Primary,699.77,1051.76,15.34
CUT13-3,3173,Primary,613.73,1193.63,15.88
CUT14-1,3173,Primary,616.47,1225.06,15.69
CUT25-3,3173,Primary,494.9,1153.67,16.53
CUYAB002,3173,Primary,556.34,1100.39,16.6
EUCM01,3173,Primary,438.13,1565.89,14.82
EUCM03,3173,Primary,499.9,1538.59,14.88
EUCM04,3173,Primary,235.89,1173.61,16.72
EUCM07,3173,Primary,604.71,1182.21,15.97
EUCM08,3173,Primary,349.88,1033.61,17.03
EUCM09,3173,Primary,670.97,1171.62,15.68
EUCM10,3173,Primary,687.46,1167.64,15.88
EUCM11,3173,Primary,584.54,1147.02,15.95
EUCM13,3173,Primary,612.3,1234.33,16
EUCM14,3173,Primary,441.12,1164.98,16.41
EUCM18,3173,Primary,441.12,965.6,16.47
EUCM19,3173,Primary,471.53,980.85,16.39
EUCM20,3173,Primary,645.36,1030.62,15.87
EUCM21,3173,Primary,779.95,1190.61,14.98
EUCM22,3173,Primary,387.15,945.36,16.68
EUCM23,3173,Primary,561.44,1019.1,15.75
EUCM25,3173,Primary,640.46,1230.87,15.72
EUCM26,3173,Primary,627.8,1070.71,16.45
EUCM27,3173,Primary,598.5,1264,15.63
EUCM28,3173,Primary,624.59,1234.4,15.77
EUCM31,3173,Primary,671.69,1123.54,14.39
GTW03-2,3173,Primary,640,1087.24,15.53
NCRIC005,3173,Primary,519.76,1316.22,16.3
NEF2011,3173,Primary,569.98,1403.12,15.76
NEF4108,3173,Primary,745.93,1471.83,14.25
NRAC739,3173,Primary,708.15,1245.33,13.59
NUOAK139,3173,Primary,612.19,1617.03,14.89
NY_AB18,3173,Primary,446.36,1039.21,15.22
PLCFGIN2,3173,Primary,217.3,1036.08,16.66
REV13832,3173,Primary,370.8,1416.49,15.92
UNE14004,3173,Primary,511.58,1385.11,14.75
WNPFF12,3173,Primary,424.36,1076.84,16.53
ETT08B3U,3173,Primary,465.79,1298.29,16.56
ETT09B2U,3173,Primary,523.61,1312.86,16.41
KOR13B1F,3173,Primary,679.9,1061.59,15.72
KOR14B3U,3173,Primary,772.54,1160.79,14.82
KOR15B8C,3173,Primary,765.75,1215.64,14.71
TLM06B8S,3173,Primary,775.64,1088.11,15.15
TLM07B1U,3173,Primary,752.6,1071.01,15.36
TLM08B5S,3173,Primary,569.15,1195.06,15.74
TLM09B1S,3173,Primary,630.2,1233.25,15.39
EUCM05,3173,Secondary,250.65,1177.43,16.67
EUCM15,3173,Secondary,564.21,1178.51,16.36
EUCM16,3173,Secondary,411.24,1128.02,16.54
EUCM17,3173,Secondary,207.67,1128.16,17.22
NEF2069,3173,Secondary,698.35,1050.91,15.34
EUCM30,3173,Secondary,742.37,1301.52,15.06
NCA0012B,3173,Secondary,565.35,1279.48,16.36
A1_41,3173,Secondary,603.58,1395.88,14.19
A1_46B,3173,Secondary,653.59,1404.39,14.15
10693G5,3174,Primary,70.07,1476,17.46
15021G8,3174,Primary,165.13,1620.72,16.36
15684G2,3174,Primary,255.28,1158.31,16.09
9311G5,3174,Primary,93.89,1731.76,17.41
9311G8,3174,Primary,173.17,1688.52,17.7
BGN14F5S,3174,Primary,71.1,1808.59,17.79
BGN15F4S,3174,Primary,198.06,1691.79,17.19
BOAMBSF1,3174,Primary,80.38,1718.19,17.9
BYB01J3V,3174,Primary,27.6,1481.6,17.09
CHRMUR10,3174,Primary,273.01,2099.32,18
CLY10P4L,3174,Primary,27.42,1270.49,18.2
CLY11P7L,3174,Primary,16.45,1249.84,18.26
CLY14P3F,3174,Primary,16.32,1285.88,18.2
COFF3N01,3174,Primary,24.75,1614.9,18.19
COFFS11,3174,Primary,56.75,1728.75,18.11
COFFS46,3174,Primary,37.42,1613.46,18.1
EA_CB8_2,3174,Primary,20.49,1277.81,17.04
EA_CT41,3174,Primary,43.5,1218.13,16.78
EA_CT54,3174,Primary,46.02,1342.84,17.18
