"RCP","group","variables","coef_value","daic","stderr"
"R9","R9_21a","Breyoblo",2.69817432812462,1193.33730072027,41.7900060046205
"R9","R9_21a","Coryinte",2.69817432812462,996.22287984608,41.7900060046205
"R9","R9_21a","Hibbscan",2.69817432812462,1580.52559854303,41.7900060046205
"R9","R9_21a","Leptlaev",2.69817432812462,130.766317167572,41.7900060046205
"R9","R9_21a","Lomalong",2.69817432812462,831.536612821295,41.7900060046205
"R9","R9_21a","Monoelli",2.69817432812462,267.623306817541,41.7900060046205
"R9","R9_21a","Pterescu",2.69817432812462,1504.61597841216,41.7900060046205
"R9","R9_21a","stepjapd",2.69817432812462,631.627540249847,41.7900060046205
"R9","R9_2a","Breyoblo",2.69817432812462,1193.33730072027,41.7900060046205
"R9","R9_2a","Cissanta",2.69817432812462,1052.16331669558,41.7900060046205
"R9","R9_2a","Geitcymo",2.69817432812462,893.918506882477,41.7900060046205
"R9","R9_2a","Gerasola",2.69817432812462,608.993926747102,41.7900060046205
"R9","R9_2a","Pandpanp",2.69817432812462,958.410600122127,41.7900060046205
"R9","R9_2a","Pellfalc",2.69817432812462,1549.01735453992,41.7900060046205
"R9","R9_43","Melaarma",2.69817432812462,165.174344399146,12.7955238823957
"R9","R9_72","Acacsilv",2.69817432812462,-136.452769960362,41.7900060046205
"R9","R9_72","Beyelasi",2.69817432812462,177.074498053126,41.7900060046205
"R9","R9_72","Casstrin",2.69817432812462,694.533919962608,41.7900060046205
"R9","R9_72","Eucapani",2.69817432812462,634.913344690658,41.7900060046205
"R9","R9_81","Melaquin",2.69817432812462,721.624685555221,16.6056645465187
"R9","R9_94d","Acacblak",2.69817432812462,-206.250351203837,41.7900060046205
"R9","R9_94d","Acalnemo",2.69817432812462,-208.281747515053,41.7900060046205
"R9","R9_94d","Alphexce",2.69817432812462,510.383403155321,41.7900060046205
"R9","R9_94d","Diancaer",2.69817432812462,1596.57449407681,41.7900060046205
"R9","R9_94d","Opliimbe",2.69817432812462,935.411531942896,41.7900060046205
"R9","R9_100","Poalabil",2.69817432812462,867.237717123127,14.4764827297222
"R9","R9_101a","Acacflor",2.69817432812462,160.550111699733,72.3824136486112
"R9","R9_101a","Acacirro",2.69817432812462,690.212253673771,72.3824136486112
"R9","R9_101a","Adiaaeth",2.69817432812462,1275.53431729671,72.3824136486112
"R9","R9_101a","Angosubv",2.69817432812462,54.7503949311943,72.3824136486112
"R9","R9_101a","Brueaust",2.69817432812462,482.15517229472,72.3824136486112
"R9","R9_101a","Carelong",2.69817432812462,1160.41256101878,72.3824136486112
"R9","R9_101a","Clemaris",2.69817432812462,682.817014809374,72.3824136486112
"R9","R9_101a","Denhsilv",2.69817432812462,1114.37834511607,72.3824136486112
"R9","R9_101a","Dichrepe",2.69817432812462,1659.59501746538,72.3824136486112
"R9","R9_101a","Digiparv",2.69817432812462,191.302069566071,72.3824136486112
"R9","R9_101a","Echiovat",2.69817432812462,800.755045839939,72.3824136486112
"R9","R9_101a","Entomarg",2.69817432812462,974.420156054689,72.3824136486112
"R9","R9_101a","Eucaampl",2.69817432812462,194.688013123889,72.3824136486112
"R9","R9_101a","Eucaprop",2.69817432812462,1140.1128959462,72.3824136486112
"R9","R9_101a","Eustlati",2.69817432812462,813.991971103123,72.3824136486112
"R9","R9_101a","Gahnaspe",2.69817432812462,231.147326199559,72.3824136486112
"R9","R9_101a","Glyctaba",2.69817432812462,542.658709607396,72.3824136486112
"R9","R9_101a","Hybastel",2.69817432812462,385.99448368064,72.3824136486112
"R9","R9_101a","Hydrlaxi",2.69817432812462,656.547521754456,72.3824136486112
"R9","R9_101a","Impecyli",2.69817432812462,2151.44604933234,72.3824136486112
"R9","R9_101a","Lomalong",2.69817432812462,831.536612821295,72.3824136486112
"R9","R9_101a","Melaalte",2.69817432812462,-35.4369442777943,72.3824136486112
"R9","R9_101a","Micrstip",2.69817432812462,1346.62269225683,72.3824136486112
"R9","R9_101a","Opliaemu",2.69817432812462,657.727807416268,72.3824136486112
"R9","R9_101a","Panisimi",2.69817432812462,483.023564670648,72.3824136486112
"R9","R9_101a","Parsstra",2.69817432812462,1078.47825669184,72.3824136486112
"R9","R9_101a","Pratpurp",2.69817432812462,1139.32848940514,72.3824136486112
"R9","R9_101a","Pseuvari",2.69817432812462,1338.84132353034,72.3824136486112
"R9","R9_101a","Rubuparv",2.69817432812462,1296.53005391655,72.3824136486112
"R9","R9_101a","Sannplur",2.69817432812462,202.752976275408,72.3824136486112
"R9","R9_101a","Violhede",2.69817432812462,738.224499510741,72.3824136486112
"R9","R9_107","Dichrepe",2.69817432812462,1659.59501746538,14.195359216739
"R9","R9_107","Micrstip",2.69817432812462,1346.62269225683,14.195359216739
"R9","R9_107b","Acacfili",2.69817432812462,70.1957979698938,72.3824136486112
"R9","R9_107b","Acacimpl",2.69817432812462,460.550348376247,72.3824136486112
"R9","R9_107b","Aspeconf",2.69817432812462,-4.28900222844595,72.3824136486112
"R9","R9_107b","Austrudi",2.69817432812462,155.329489426804,72.3824136486112
"R9","R9_107b","Bursspin",2.69817432812462,619.931077091645,72.3824136486112
"R9","R9_107b","Careinve",2.69817432812462,159.513752199083,72.3824136486112
"R9","R9_107b","Commcyan",2.69817432812462,696.124543640082,72.3824136486112
"R9","R9_107b","Cypespha",2.69817432812462,-245.212210849806,72.3824136486112
"R9","R9_107b","Dichrara",2.69817432812462,-36.6294423046376,72.3824136486112
"R9","R9_107b","Dichrepe",2.69817432812462,1659.59501746538,72.3824136486112
"R9","R9_107b","Echicaes",2.69817432812462,345.689723180103,72.3824136486112
"R9","R9_107b","Echiovat",2.69817432812462,800.755045839939,72.3824136486112
"R9","R9_107b","Elymscab",2.69817432812462,-37.7486060619497,72.3824136486112
"R9","R9_107b","Fimbdich",2.69817432812462,-77.7116152332429,72.3824136486112
"R9","R9_107b","Gerasola",2.69817432812462,608.993926747102,72.3824136486112
"R9","R9_107b","Glycclan",2.69817432812462,860.913409691868,72.3824136486112
"R9","R9_107b","Glyctaba",2.69817432812462,542.658709607396,72.3824136486112
"R9","R9_107b","Halohete",2.69817432812462,-128.528831058318,72.3824136486112
"R9","R9_107b","Hydrlaxi",2.69817432812462,656.547521754456,72.3824136486112
"R9","R9_107b","Lespjuns",2.69817432812462,-144.982623028659,72.3824136486112
"R9","R9_107b","Micrstip",2.69817432812462,1346.62269225683,72.3824136486112
"R9","R9_107b","Oxalpere",2.69817432812462,402.462006489787,72.3824136486112
"R9","R9_107b","Poalabil",2.69817432812462,867.237717123127,72.3824136486112
"R9","R9_107b","Pratpurp",2.69817432812462,1139.32848940514,72.3824136486112
"R9","R9_107b","Pterescu",2.69817432812462,1504.61597841216,72.3824136486112
