"RCP","variables","char_freq"
"R1","Sporcreb",3
"R1","Syncglom",3
"R1","Violhede",3
"R1","Rostadsn",3
"R1","Operhisp",3
"R1","Persstra",3
"R1","Xantjohn",3
"R1","Myrsvari",3
"R1","Glocferd",3
"R1","Indiaust",3
"R1","Sparjunc",3
"R1","Sperbrac",2
"R1","Pasidist",2
"R1","Exoccupr",2
"R1","Austramo",2
"R1","Denhbilo",2
"R1","Eucatind",2
"R1","Laxmgrac",2
"R1","Solastel",2
"R1","Chryapic",2
"R1","Mallphil",2
"R1","Notelong",2
"R1","Daviulic",2
"R1","Operdiph",2
"R1","Rytirace",2
"R1","Grevmont",2
"R1","Bothdecd",2
"R1","Eucamell",2
"R1","Senequad",2
"R1","Arthmill",2
"R1","Melastyp",2
"R1","Violbeto",2
"R1","Cassquin",2
"R1","Solacamp",2
"R1","Juncusit",2
"R1","Eucacarn",2
"R1","Glosbidn",2
"R1","Cynodact",2
"R1","Einatrig",2
"R1","Rumebrow",2
"R1","Myopmont",2
"R1","Chlotrun",2
"R1","Galigaud",2
"R1","Tremtoma",2
"R1","Oxalchno",2
"R1","Macrcomm",2
"R1","Cassglab",2
"R1","Phylhirt",2
"R1","Daucgloc",2
"R1","Melanodo",2
"R1","Acacbini",2
"R1","Leucmuti",2
"R1","Hibbscan",2
"R1","Casslong",1
"R1","Eucaacme",1
"R1","Polycaly",1
"R1","Careinve",1
"R1","Lespjuns",1
"R1","Chlovent",1
"R1","Capispic",1
"R1","Dianlong",1
"R1","Acacirro",1
"R1","Operaspe",1
"R1","Stypglau",1
"R1","Einanuta",1
"R1","Marsrost",1
"R1","Acaculic",1
"R1","Austpube",1
"R1","Carelong",1
"R1","Lomaobli",1
"R1","Hydrsibt",1
"R1","Euchjapo",1
"R1","Senehisp",1
"R1","Stelpung",1
"R1","Eucaampl",1
"R1","Eucabosi",1
"R1","Stelflac",1
"R1","Calolapp",1
"R1","Goodovat",1
"R1","Hibbaspe",1
"R1","Acacmela",1
"R1","Chamnoma",1
"R1","Crotmoan",1
"R1","Cypelaes",1
"R1","Wahlstri",1
"R1","Cassacul",1
"R1","Rytipilo",1
"R1","Urtiinci",1
"R1","Eucaprop",1
"R1","Murdgram",1
"R1","Clemopac",1
"R1","Eucapilu",1
"R1","Eucaumbr",1
"R1","Acacleil",1
"R1","Stacvimi",1
"R1","Arthspec",1
"R1","Dichseri",1
"R1","Acacdecu",1
"R1","Acacflor",1
"R1","Pimelini",1
"R1","Hibbline",1
"R1","Calodent",1
